fecha,precio,costo,categoria,metodo_pago,sucursal,dia_semana,cliente_tipo,tipo_venta,cantidad,ganancia,alta_ganancia
2024-01-01,5001.48,4158.04,principal,debito,palermo,Monday,recurrente,delivery,2,1686.87,0
2024-01-02,5358.49,3411.89,bebida,debito,palermo,Tuesday,empresa,delivery,1,1946.6,0
2024-01-03,4671.03,3242.43,principal,efectivo,palermo,Wednesday,nuevo,salon,3,4285.83,1
2024-01-04,3931.29,2389.44,postre,debito,palermo,Thursday,recurrente,salon,4,6167.39,1
2024-01-05,4454.4,3873.46,bebida,efectivo,centro,Friday,nuevo,delivery,2,1161.88,0
2024-01-06,3810.02,2633.41,principal,efectivo,centro,Saturday,recurrente,salon,1,1176.62,0
2024-01-07,5072.17,3286.52,bebida,credito,palermo,Sunday,recurrente,salon,1,1785.65,0
2024-01-08,6608.26,4186.34,bebida,efectivo,palermo,Monday,empresa,delivery,2,4843.83,1
2024-01-09,4409.35,1916.33,bebida,credito,palermo,Tuesday,empresa,salon,4,9972.07,1
2024-01-10,4255.43,2511.66,principal,mp,palermo,Wednesday,recurrente,delivery,2,3487.54,0
2024-01-11,5587.81,3920.31,principal,credito,belgrano,Thursday,recurrente,delivery,1,1667.5,0
2024-01-12,5428.26,4209.74,entrada,efectivo,centro,Friday,recurrente,salon,1,1218.52,0
2024-01-13,5126.5,3044.85,postre,mp,belgrano,Saturday,recurrente,takeaway,1,2081.65,0
2024-01-14,3883.44,2256.74,bebida,efectivo,centro,Sunday,nuevo,salon,2,3253.39,0
2024-01-15,4964.9,2740.78,entrada,debito,palermo,Monday,nuevo,salon,1,2224.12,0
2024-01-16,5834.36,2808.18,postre,debito,belgrano,Tuesday,recurrente,salon,4,12104.72,1
2024-01-17,3386.94,1609.61,postre,credito,centro,Wednesday,recurrente,takeaway,2,3554.68,0
2024-01-18,4450.86,3699.01,entrada,debito,belgrano,Thursday,recurrente,salon,3,2255.56,0
2024-01-19,2718.53,1521.13,bebida,debito,centro,Friday,recurrente,delivery,4,4789.62,1
2024-01-20,3452.55,2673.26,principal,credito,centro,Saturday,recurrente,takeaway,3,2337.89,0
2024-01-21,2789.92,1827.89,principal,debito,palermo,Sunday,recurrente,salon,1,962.02,0
2024-01-22,4717.89,2004.2,entrada,efectivo,palermo,Monday,recurrente,delivery,1,2713.69,0
2024-01-23,3479.06,1520.4,postre,debito,centro,Tuesday,recurrente,delivery,1,1958.66,0
2024-01-24,5325.52,4589.64,principal,debito,belgrano,Wednesday,nuevo,salon,2,1471.76,0
2024-01-25,5188.1,2930.56,principal,efectivo,centro,Thursday,recurrente,salon,2,4515.09,1
2024-01-26,4775.68,2093.42,entrada,credito,centro,Friday,recurrente,takeaway,1,2682.26,0
2024-01-27,1979.89,431.8,principal,debito,centro,Saturday,recurrente,salon,2,3096.18,0
2024-01-28,4353.57,3026.76,principal,debito,centro,Sunday,nuevo,salon,2,2653.61,0
2024-01-29,4941.8,3377.96,bebida,credito,centro,Monday,nuevo,delivery,2,3127.67,0
2024-01-30,5135.97,3136.75,postre,credito,centro,Tuesday,recurrente,salon,2,3998.45,1
2024-01-31,3163.84,915.86,postre,credito,centro,Wednesday,nuevo,delivery,1,2247.98,0
